grien	dziw	dziw_qhanshiev	dziwxev	sikrok_xaumra	thovqitmra	pryentyov	tyoshiek
05D9F	嶟			[28746]	U+5D9F		
05DA1	嶡			[22282]	U+5DA1		
05DA8	嶨			[77772]	U+5DA8		
05DAA	嶪			[22905]	U+5DAA		
05DAB	嶫			[22795]	U+5DAB		
05DAE	嶮			[28786]	U+5DAE		
05DDB	巛			[22337]	U+5DDB		
05DDD	川			[22000]	U+5DDD		
05DDE	州			[32000]	U+5DDE		
05DDF	巟			[00212]	U+5DDF		
05DE1	巡			[32303]	U+5DE1		
05DE4	巤			[22712]	U+5DE4		
05DE5	工			[10102]	U+5DE5		
05DE6	左			[40102]	U+5DE6		
05DE8	巨			[71717]	U+5DE8		
05DE9	巩			[17110]	U+5DE9		
05DEB	巫			[10108]	U+5DEB		
05DEE	差			[80102]	U+5DEE		
05DF1	己			[17717]	U+5DF1		
05DF7	巷			[44717]	U+5DF7		
05DFE	巾			[40227]	U+5DFE		
05E02	市			[00227]	U+5E02		
05E10	帐			[42234]	U+5E10		
05E11	帑			[47227]	U+5E11		
05E15	帕			[46202]	U+5E15		
05E18	帘			[30227]	U+5E18		
05E19	帙			[45280]	U+5E19		
05E1A	帚			[17227]	U+5E1A		
05E1B	帛			[26227]	U+5E1B		
05E1E	帞			[41262]	U+5E1E		
05E1F	帟			[00227]	U+5E1F		
05E22	帢			[48261]	U+5E22		
05E2C	帬			[17227]	U+5E2C		
05E2D	席			[00227]	U+5E2D		
05E33	帳			[41232]	U+5E33		
05E4C	幌			[46212]	U+5E4C		
05E72	干			[10400]	U+5E72		
05E74	年			[80500]	U+5E74		
05E75	幵			[11440]	U+5E75		
05E76	并			[80441]	U+5E76		
05E79	幹			[48441]	U+5E79		
05E7B	幻			[27720]	U+5E7B		
05E7F	广			[00200]	U+5E7F		
05E81	庁			[00221]	U+5E81		
05E83	広			[00232]	U+5E83		
05E84	庄			[00214]	U+5E84		
05E8A	床			[00294]	U+5E8A		
05E8F	序			[00222]	U+5E8F		
05E93	库			[00254]	U+5E93		
05E96	庖			[00212]	U+5E96		
05E9A	庚			[00287]	U+5E9A		
05EA4	庤			[00241]	U+5EA4		
05EA5	庥			[00294]	U+5EA5		
05EA6	度			[00247]	U+5EA6		
05EAB	庫			[00256]	U+5EAB		
05EB6	庶			[00237]	U+5EB6		
05EB7	康			[00299]	U+5EB7		
05EB8	庸			[00227]	U+5EB8		
05EBE	庾			[00287]	U+5EBE		
05EC2	廂			[00260]	U+5EC2		
05ECA	廊			[00227]	U+5ECA		
05ED5	廕			[00232]	U+5ED5		
05EDB	廛			[00214]	U+5EDB		
05EE3	廣			[00286]	U+5EE3		
05EE7	廧			[00261]	U+5EE7		
05EE9	廩			[00294]	U+5EE9		
05EEA	廪			[00291]	U+5EEA		
05EF1	廱			[00215]	U+5EF1		
05EF4	廴			[17407, 10400]	U+5EF4		
05EF5	廵			[12403]	U+5EF5		
05EFB	廻			[16400]	U+5EFB		
05EFD	廽			[16400]	U+5EFD		
05EFE	廾			[44000]	U+5EFE		
05EFF	廿			[44770]	U+5EFF		
05F00	开			[10440]	U+5F00		
05F03	弃			[00443]	U+5F03		
05F04	弄			[10441]	U+5F04		
05F04	弄			[10441]	U+5F04		
05F08	弈			[00443]	U+5F08		
05F0C	弌			[43100]	U+5F0C		
05F0D	弍			[43100]	U+5F0D		
05F0E	弎			[43100]	U+5F0E		
05F10	弐			[13140]	U+5F10		
05F13	弓			[17027]	U+5F13		
05F18	弘			[12230]	U+5F18		
05F20	张			[12234]	U+5F20		
05F26	弦			[10232]	U+5F26		
05F29	弩			[47027]	U+5F29		
05F35	張			[11232]	U+5F35		
05F36	弶			[10296]	U+5F36		
05F37	強			[13236]	U+5F37		
05F3A	强			[16236]	U+5F3A		
05F49	彉			[14286]	U+5F49		
05F4A	彊			[11216]	U+5F4A		
05F4D	彍			[10286]	U+5F4D		
05F50	彐			[17102, 17172]	U+5F50		
05F51	彑			[27102]	U+5F51		
05F58	彘			[27712]	U+5F58		
05F59	彙			[27904]	U+5F59		
05F5A	彚			[17904]	U+5F5A		
05F5D	彝			[27449]	U+5F5D		
05F61	彡			[20202]	U+5F61		
05F62	形			[12422]	U+5F62		
05F64	彤			[72422]	U+5F64		
05F6B	彫			[72222]	U+5F6B		
05F6C	彬			[42922]	U+5F6C		
05F71	影			[62922]	U+5F71		
05F73	彳			[20202]	U+5F73		
05F76	彶			[27247]	U+5F76		
05F80	往			[20214]	U+5F80		
05F81	征			[21211]	U+5F81		
05F85	待			[24241]	U+5F85		
05F8A	徊			[26200]	U+5F8A		
05F8B	律			[25207]	U+5F8B		
05F8C	後			[22247]	U+5F8C		
05F90	徐			[28294]	U+5F90		
05F92	徒			[24281]	U+5F92		
05F95	徕			[25290]	U+5F95		
05F97	得			[26241]	U+5F97		
05FA0	徠			[24298]	U+5FA0		
05FA1	御			[27220]	U+5FA1		
05FA8	徨			[26214]	U+5FA8		
05FB3	徳			[24236]	U+5FB3		
05FB7	德			[24231]	U+5FB7		
05FC6	忆			[97010]	U+5FC6		
05FCC	忌			[17331]	U+5FCC		
05FD4	忔			[98017]	U+5FD4		
05FD6	忖			[94000]	U+5FD6		
05FD7	志			[40331]	U+5FD7		
05FD8	忘			[00331]	U+5FD8		
05FD9	忙			[90010]	U+5FD9		
05FDD-J	忝		⿱夭㣺	[20338]	U+5FDD	J	
05FDD-T	忝		⿱天㣺	[10338]	U+5FDD	T	
05FE0	忠			[50336]	U+5FE0		
05FE1	忡			[95006]	U+5FE1		
05FE4	忤			[98040]	U+5FE4		
05FE7	忧			[93012]	U+5FE7		
05FF5	念			[80332]	U+5FF5		
05FFD	忽			[27332]	U+5FFD		
05FFE	忾			[98017]	U+5FFE		
06005	怅			[92034]	U+6005		
06012	怒			[47334]	U+6012		
06014	怔			[91011]	U+6014		
06015	怕			[96002]	U+6015		
06019	怙			[94060]	U+6019		
0601B	怛			[96010]	U+601B		
06025	急			[27337]	U+6025		
06027	性			[95010]	U+6027		
0602A	怪			[97014]	U+602A		
0602C	怬			[96000]	U+602C		
06033	怳			[96012]	U+6033		
06035	怵			[93094]	U+6035		
0603C	怼			[74330]	U+603C		
06043	恃			[94041]	U+6043		
06047	恇			[91011]	U+6047		
0604D	恍			[99012]	U+604D		
06050	恐			[17331]	U+6050		
06054	恔			[90048]	U+6054		
06055	恕			[46330]	U+6055		
0605F	恟			[97020]	U+605F		
06060	恠			[94014]	U+6060		
06062	恢			[94089]	U+6062		
06065	恥			[13400]	U+6065		
0606A	恪			[97064]	U+606A		
0606B	恫			[97020]	U+606B		
0606C	恬			[92064]	U+606C		
0606D	恭			[44338]	U+606D		
06070	恰			[98061]	U+6070		
0607F	恿			[17332]	U+607F		
06083	悃			[96000]	U+6083		
06084	悄			[99027]	U+6084		
0608B	悋			[90064]	U+608B		
0608D	悍			[96041]	U+608D		
06092	悒			[96017]	U+6092		
0609B	悛			[93047]	U+609B		
0609D	悝			[96015]	U+609D		
0609E	悞			[96084]	U+609E		
0609F	悟			[91061]	U+609F		
060A2	悢			[93032]	U+60A2		
060A3	患			[50336]	U+60A3		
060AD	悭			[97014]	U+60AD		
060AE	悮			[96084]	U+60AE		
060AF	悯			[97020]	U+60AF		
060B3	悳			[40331]	U+60B3		
060B5	悵			[91032]	U+60B5		
060B6	悶			[77331]	U+60B6		
060B8	悸			[92047]	U+60B8		
060BE	悾			[93012]	U+60BE		
060C5	情			[95027]	U+60C5		
060C6	惆			[97020]	U+60C6		
060C6	惆			[97020]	U+60C6		
060CA	惊			[90096]	U+60CA		
060CF	惏			[94090]	U+60CF		
060D8	惘			[97020]	U+60D8		
060DA	惚			[97032]	U+60DA		
060E7	惧			[97081]	U+60E7		
060EA	惪			[40331]	U+60EA		
060EF	惯			[97082]	U+60EF		
060F3	想			[46330]	U+60F3		
060F5	惵			[94094]	U+60F5		
060F6	惶			[96014]	U+60F6		
060FA	惺			[96015]	U+60FA		
06100	愀			[99080]	U+6100		
06101	愁			[29338]	U+6101		
0610F	意			[00336]	U+610F		
06114	愔			[90061]	U+6114		
06126	愦			[95082]	U+6126		
0613A	愺			[94046]	U+613A		
0613E	愾			[98017]	U+613E		
0613F	愿			[71239]	U+613F		
06142	慂			[37332]	U+6142		
06144	慄			[91094]	U+6144		
06148	慈			[80333]	U+6148		
0614C	慌			[94012]	U+614C		
06163	慣			[97086]	U+6163		
06165	慥			[94036]	U+6165		
06170	慰			[74330]	U+6170		
06173	慳			[97014]	U+6173		
06175	慵			[90027]	U+6175		
06177	慷			[90099]	U+6177		
06182	憂			[10407]	U+6182		
06192	憒			[95086]	U+6192		
061AB	憫			[97020]	U+61AB		
061AC	憬			[96096]	U+61AC		
061B6	憶			[90036]	U+61B6		
061CD	懍			[90094]	U+61CD		
061D2	懒			[97082]	U+61D2		
061D4	懔			[90091]	U+61D4		
061DF	懟			[34330]	U+61DF		
061F6	懶			[97086]	U+61F6		
06209	戉			[53700]	U+6209		
0620C	戌			[53200]	U+620C		
06210	成			[53200]	U+6210		
06211	我			[23550]	U+6211		
06212	戒			[53400]	U+6212		
06215	戕			[23250]	U+6215		
0621B	戛			[10503]	U+621B		
0621E	戞			[10503]	U+621E		
0621F	戟			[43450]	U+621F		
06236	戶			[20207]	U+6236		
06237	户			[30207]	U+6237		
06238	戸			[10207]	U+6238		
0623B	戻			[30284]	U+623B		
0623D	戽			[30247]	U+623D		
06246	扆			[30232]	U+6246		
06248	扈			[30217]	U+6248		
0624B	手			[20500]	U+624B		
0624E	扎			[52010]	U+624E		
06250	扐			[54027]	U+6250		
06252	扒			[58000]	U+6252		
06253	打			[51020]	U+6253		
0625B	扛			[51012]	U+625B		
0625E	扞			[51040]	U+625E		
06262	扢			[58017]	U+6262		
06263	扣			[56000]	U+6263		
06269	扩			[50000]	U+6269		
0626A	扪			[57020]	U+626A		
0626C	扬			[57027]	U+626C		
0626F	扯			[51010]	U+626F		
06270	扰			[53012]	U+6270		
06271	扱			[57047]	U+6271		
06284	抄			[59020]	U+6284		
06286	抆			[50040]	U+6286		
06291	抑			[57020]	U+6291		
06292	抒			[57022]	U+6292		
06295	投			[57047]	U+6295		
06296	抖			[54000]	U+6296		
062A5	报			[57047]	U+62A5		
062B1	抱			[57012]	U+62B1		
062B4	抴			[54017]	U+62B4		
062B6	抶			[55080]	U+62B6		
062BD	抽			[55060]	U+62BD		
062C5	担			[56010]	U+62C5		
062C9	拉			[50018]	U+62C9		
062CC	拌			[59050]	U+62CC		
062CD	拍			[56002]	U+62CD		
062CF	拏			[47502]	U+62CF		
062D2	拒			[51017]	U+62D2		
062D3	拓			[51062]	U+62D3		
062D8	拘			[57020]	U+62D8		
062D9	拙			[52072]	U+62D9		
062DC	拜			[21550]	U+62DC		
062DD	拝			[51050]	U+62DD		
062E1	拡			[50032]	U+62E1		
062E5	拥			[57020]	U+62E5		
062EE	拮			[54061]	U+62EE		
062F1	拱			[54081]	U+62F1		
062F4	拴			[58014]	U+62F4		
062F6	拶			[52027]	U+62F6		
062FD	拽			[55006]	U+62FD		
062FE	拾			[58061]	U+62FE		
062FF	拿			[80502]	U+62FF		
06301	持			[54041]	U+6301		
06303	挃			[51014]	U+6303		
0630D	挍			[50048]	U+630D		
06310	挐			[46502]	U+6310		
06339	挹			[56017]	U+6339		
06342	捂			[51061]	U+6342		
06343	捃			[57067]	U+6343		
06344	捄			[53099]	U+6344		
06345	捅			[57027]	U+6345		
06349	捉			[56081]	U+6349		
0634D	捍			[56041]	U+634D		
0634E	捎			[59027]	U+634E		
0634F	捏			[56014]	U+634F		
06357	捗			[51021]	U+6357		
0635E	捞			[54027]	U+635E		
0635F	损			[56082]	U+635F		
06361	捡			[58019]	U+6361		
06366	捦			[58019]	U+6366		
06368	捨			[58064]	U+6368		
0636B	捫			[57020]	U+636B		
0636E	据			[57064]	U+636E		
0637B	捻			[58032]	U+637B		
06388	授			[52047]	U+6388		
0638F	掏			[57020]	U+638F		
06396	掖			[50047]	U+6396		
06398	掘			[57072]	U+6398		
0639F	掟			[53081]	U+639F		
063A0	掠			[50096]	U+63A0		
063A7	控			[53012]	U+63A7		
063BC	掼			[57082]	U+63BC		
063C5	揅			[11502]	U+63C5		
063D1	揑			[57012]	U+63D1		
063DA	揚			[56027]	U+63DA		
063E2	揢			[53064]	U+63E2		
063F2	揲			[54094]	U+63F2		
063FD	揽			[58012]	U+63FD		
06405	搅			[59012]	U+6405		
0640D	損			[56086]	U+640D		
06413	搓			[58012]	U+6413		
0642A	搪			[50065]	U+642A		
0642D	搭			[54061]	U+642D		
06434	搴			[30502]	U+6434		
0644A	摊			[50015]	U+644A		
0645C	摜			[57086]	U+645C		
0646B	摫			[56012]	U+646B		
0646D	摭			[50037]	U+646D		
0647C	摼			[57014]	U+647C		
06485	撅			[51082]	U+6485		
06488	撈			[59027]	U+6488		
0648A	撊			[57020]	U+648A		
06499	撙			[58046]	U+6499		
0649D-J	撝		⿰扌為	[54027]	U+649D	J	
0649D-T	撝		⿰扌爲	[52027]	U+649D	T	
064A6	撦			[54064]	U+64A6		
064B7	撷			[51082]	U+64B7		
064B9	撹			[59012]	U+64B9		
064BF	撿			[58086]	U+64BF		
064C0	擀			[58041]	U+64C0		
064C1	擁			[50015]	U+64C1		
064C5	擅			[50016]	U+64C5		
064CE	擎			[48502]	U+64CE		
064D2	擒			[58027]	U+64D2		
064E1	擡			[54014]	U+64E1		
064E2	擢			[57015]	U+64E2		
064E5	擥			[78502]	U+64E5		
064F4	擴			[50086]	U+64F4		
064F7	擷			[51086]	U+64F7		
064FE	擾			[51047]	U+64FE		
06510	攐			[53032]	U+6510		
06513	攓			[53081]	U+6513		
06524	攤			[50015]	U+6524		
0652A	攪			[57012]	U+652A		
0652C	攬			[58012]	U+652C		
06536	收			[28740]	U+6536		
0653B	攻			[18140]	U+653B		
0653F	政			[18140]	U+653F		
06542	敂			[28640]	U+6542		
06545	故			[48640]	U+6545		
06548	效			[08440]	U+6548		
06549	敉			[98940]	U+6549		
0654D	敍			[81947]	U+654D		
06551	救			[48940]	U+6551		
06554	敔			[18640]	U+6554		
06555	敕			[58940]	U+6555		
06556	敖			[48240, 58240]	U+6556		
06557	敗			[68840]	U+6557		
06558	敘			[88940]	U+6558		
0655B	敛			[88140]	U+655B		
06563	散			[48240]	U+6563		
06569	敩			[98440]	U+6569		
0656C	敬			[48640]	U+656C		
0656D	敭			[68240]	U+656D		
06574	整			[58101]	U+6574		
06582	斂			[88840]	U+6582		
06585	斅			[71447]	U+6585		
06586	斆			[78440]	U+6586		
06587	文			[00400]	U+6587		
0658C	斌			[03440]	U+658C		
06591	斑			[11114]	U+6591		
06597	斗			[34000]	U+6597		
06599	料			[94900]	U+6599		
0659C	斜			[84900]	U+659C		
065A8	斨			[22221]	U+65A8		
065AB	斫			[12621]	U+65AB		
065B2	斲			[72121]	U+65B2		
065C3	旃			[08247]	U+65C3		
065C5	旅			[08232]	U+65C5		
065CC	旌			[08215]	U+65CC		
065D3	旓			[08227]	U+65D3		
065E5	日			[60100]	U+65E5		
065E6	旦			[60100]	U+65E6		
065E7	旧			[26000]	U+65E7		
065E9	早			[60400]	U+65E9		
065ED	旭			[46010]	U+65ED		
065F0	旰			[61040]	U+65F0		
065F1	旱			[60401]	U+65F1		
065F6	时			[64000]	U+65F6		
065F7	旷			[60000]	U+65F7		
065F8	旸			[67027]	U+65F8		
065FA	旺			[61014]	U+65FA		
065FB	旻			[60400]	U+65FB		
065FC	旼			[60040]	U+65FC		
06603	昃			[60281]	U+6603		
06606	昆			[60712]	U+6606		
06607	昇			[60440]	U+6607		
06608	昈			[63007]	U+6608		
0660A	昊			[60804]	U+660A		
06612	昒			[67020]	U+6612		
06619	昙			[60732]	U+6619		
0661C	昜			[60227]	U+661C		
0661F	星			[60105]	U+661F		
0662B	昫			[67020]	U+662B		
06631	昱			[60108]	U+6631		
06633	昳			[65080]	U+6633		
0663C	昼			[77106]	U+663C		
0663E	显			[60102]	U+663E		
06642	時			[64041]	U+6642		
06643	晃			[60212]	U+6643		
06644	晄			[69012]	U+6644		
06648	晈			[60048]	U+6648		
06654	晔			[64041]	U+6654		
0665B	晛			[66012]	U+665B		
0665C	晜			[60227]	U+665C		
0665D	晝			[50106]	U+665D		
0665F	晟			[60253]	U+665F		
06664	晤			[61061]	U+6664		
0666E	普			[80601]	U+666E		
0666F	景			[60906]	U+666F		
06674	晴			[65027]	U+6674		
06676	晶			[60660]	U+6676		
