grien	dziwdu	dziwdu_qhanshiev	syenjyovdziw	krenqhruadziw	nitpun_diavjyovdziw	jiwtheidziw	thovjyov_kyebyam_zioxau	ziwvyan_jiepmra	qhanziwqhwi_bushyu	qhandziwqhwi_bushyuvuai	thongqitmra
0934D	鍍			镀		[]	[3115]	4210.1	金	9	U+934D
09371	鍱					[]	[]	4210.3	金	9	U+9371
09396	鎖			锁		[]	[2660]	4219.1	金	10	U+9396
093A1	鎡			镃		[]	[7685]	4210.2	金	10	U+93A1
093C8	鏈			链		[]	[2658]	4218.3	金	11	U+93C8
093CA	鏊					[]	[6310]	4222.2	null	null	U+93CA
093D6	鏖					[䥝]	[6409]	4221.3	金	11	U+93D6
093D7	鏗			铿		[]	[5180]	4222.3	金	11	U+93D7
093D8	鏘			锵		[]	[5738]	4224.1	金	11	U+93D8
093DE	鏞			镛		[]	[6116]	4221.3	金	11	U+93DE
093F5	鏵			铧		[]	[4875]	4222.2	金	10	U+93F5
093F9	鏹			镪		[]	[6251]	4224.1	null	null	U+93F9
09404	鐄			𨱑		[]	[7873]	4225.3	金	12	U+9404
0940F	鐏			𨱔		[]	[7944]	4225.1	金	12	U+940F
09452	鑒			鉴	鑑	[]	[2894]	4234.2	金	15	U+9452
0945B	鑛		礦	矿	鉱	[]	[1045]	4234.3	金	5	U+945B
0945E	鑞			镴		[]	[6436]	4235.2	金	15	U+945E
09470	鑰			钥		[]	[1531]	4236.1	金	17	U+9470
09577	長			长		[]	[127]	4239.1	長	0	U+9577
09580	門			门		[]	[55]	4252.1	門	0	U+9580
09586	閆			闫		[]	[6546]	null	門	8	U+9586
09588	閈					[]	[0]	4257.2	門	3	U+9588
09589	閉			闭		[]	[527]	4257.3	門	3	U+9589
0958B	開			开		[]	[76]	4259.1	門	4	U+958B
0958F	閏			闰		[閠]	[845]	4259.1	門	4	U+958F
09591	閑			闲		[]	[846]	4264.2	門	4	U+9591
09592	閒		閑	闲		[間]	[846]	4265.3	門	4	U+9592
09593	間			间		[閒]	[847]	4265.3	門	4	U+9593
09594	閔			闵		[]	[3763]	4258.2	門	4	U+9594
095A3	閣			阁		[]	[1639]	4270.2	門	6	U+95A3
095A4	閤			阁		[]	[1639]	4270.1	門	6	U+95A4
095A9	閩			闽		[]	[1637]	4269.2	門	6	U+95A9
095AB	閫			阃		[]	[4629]	4272.2	門	7	U+95AB
095AC	閬			阆		[]	[4632]	4272.1	門	7	U+95AC
095AD	閭			闾		[]	[4317]	4272.3	門	7	U+95AD
095B5	閵					[]	[0]	4274.3	null	null	U+95B5
095C7	闇		暗			[]	[2909]	4276.1	門	9	U+95C7
095CD	闍			阇		[]	[4945]	4273.3	門	9	U+95CD
095D5	闕			阙		[]	[5554]	4277.3	門	10	U+95D5
095DA	闚		窺	窥		[]	[3027]	4279.3	穴	11	U+95DA
095DC	關			关	関	[]	[532]	4280.1	門	6	U+95DC
095E0	闠					[]	[]	4284.1	null	null	U+95E0
0961C	阜					[]	[3968]	4285.1	阜	0	U+961C
0961E	阞					[]	[]	4285.3	null	null	U+961E
09621	阡					[]	[3559]	4285.3	阜	3	U+9621
09627	阧					[]	[]	null	null	null	U+9627
09629	阩					[]	[]	null	null	null	U+9629
0962F	阯		址			[]	[623]	4289.1	土	4	U+962F
09631	阱					[]	[3638]	4287.3	穴	4	U+9631
0964B	陋					[]	[1317]	4299.2	阜	6	U+964B
0964C	陌					[]	[1318]	4299.3	阜	6	U+964C
0965E	陞		升			[]	[125, 6909]	4307	阜	7	U+965E
0965F	陟					[]	[4381]	4304.3	阜	7	U+965F
09661	陡					[]	[1727]	4303.1	阜	7	U+9661
09664	除					[]	[1732]	4305.2	阜	7	U+9664
09670	陰			阴		[隂]	[575]	4318.1	阜	8	U+9670
09676	陶					[]	[2137]	4323.2	阜	8	U+9676
09678	陸			陆		[]	[912]	4308.1	阜	8	U+9678
0967D	陽			阳		[]	[572]	4328.1	阜	9	U+967D
0968A	隊			队		[]	[180]	4326.2	阜	9	U+968A
0968D	隍					[]	[5014]	4334.2	阜	9	U+968D
09695	隕			陨		[]	[1731]	4337.1	阜	10	U+9695
09699	隙					[]	[2806]	4336.3	阜	10	U+9699
096A4	隤			𬯎		[]	[7260]	4341.3	阜	12	U+96A4
096A7	隧					[]	[3182]	4338.3	阜	13	U+96A7
096AA	險			险	険	[]	[1733]	4341.3	阜	8	U+96AA
096B8	隸			隶	隷	[]	[1305]	4346.1	隶	8	U+96B8
096C0	雀					[]	[2255]	4348.2	隹	3	U+96C0
096C7	雇					[]	[2789]	4349.3	隹	4	U+96C7
096CA	雊					[]	[7564]	4360.2	隹	5	U+96CA
096CD	雍					[雝]	[5551]	4357.3	隹	5	U+96CD
096D2	雒					[]	[5775]	4361.2	隹	6	U+96D2
096D4	雔					[]	[]	4362.1	null	null	U+96D4
096D5	雕					[鵰]	[3365]	4362.1	隹	8	U+96D5
096E3	難			难		[]	[2147]	4376.2	隹	10	U+96E3
096E8	雨					[]	[1041]	4377.1	雨	0	U+96E8
096EB	雫					[]	[]	null	雨	3	U+96EB
096EF	雯					[]	[5115]	4381.3	雨	4	U+96EF
096F2	雲			云		[]	[82]	4382.1	雨	4	U+96F2
096F9	雹					[]	[2887]	4393.3	雨	5	U+96F9
096FB	電			电		[]	[242]	4390.1	雨	5	U+96FB
09702	霂					[]	[]	4394.3	null	null	U+9702
09704	霄					[]	[3230]	4396.2	雨	7	U+9704
09716	霖					[]	[6076]	4397.2	雨	8	U+9716
0971C	霜					[]	[3399]	4399.2	雨	9	U+971C
09723	霣					[]	[]	4401.1	雨	10	U+9723
09730	霰					[]	[6425]	4402.2	雨	12	U+9730
09732	露					[]	[3490]	4403.3	雨	13	U+9732
0973E	霾					[]	[6468]	4406.3	雨	14	U+973E
09742	靂			雳		[]	[2598]	4407.1	雨	16	U+9742
09752	青					[靑]	[947]	4413.1	青	0	U+9752
09756	靖					[]	[2993]	4425.2	青	5	U+9756
09759	静					[靜]	[3049]	4426.2	青	6	U+9759
0975A	靚			靓		[]	[5050]	4426.1	青	7	U+975A
09762	面					[]	[1455]	4431.1	面	0	U+9762
09766	靦					[]	[]	4434.2	面	7	U+9766
09767	靧					[]	[]	4434.3	null	null	U+9767
09769	革					[]	[1403]	4435.1	革	0	U+9769
09774	靴					[]	[2849]	4436.2	革	4	U+9774
09778	靸					[]	[5082]	4437.1	null	null	U+9778
0977C	靼					[]	[5646]	4437.3	革	5	U+977C
0977D	靽					[]	[7639]	4437.2	null	null	U+977D
09784	鞄					[]	[]	4438.1	革	5	U+9784
09788	鞈					[]	[]	4438.3	革	6	U+9788
0978F	鞏			巩		[]	[361]	4438.2	革	6	U+978F
09798	鞘					[]	[6047]	4439.2	革	7	U+9798
0979A	鞚					[]	[]	4439.3	革	8	U+979A
097A6	鞦			秋		[]	[1550]	4441.2	革	9	U+97A6
097B3	鞳					[]	[7985]	4443.2	革	9	U+97B3
097BE	鞾		靴			[]	[2849]	4444.1	革	4	U+97BE
097C1	韁		繮	缰		[]	[3386]	4444.3	革	13	U+97C1
097D4	韔					[䩨]	[]	4448.1	韋	8	U+97D4
097D8	韘					[]	[]	4451.1	韋	9	U+97D8
097E0	韠					[]	[0]	4452.2	韋	11	U+97E0
097F3	音					[]	[1632]	4453.1	音	0	U+97F3
097FB	韻		韵			[]	[2995]	4456.2	音	10	U+97FB
097FD	韽					[]	[]	4457.2	null	null	U+97FD
09801	頁			页		[]	[393]	4458.1	頁	0	U+9801
09802	頂			顶		[]	[971]	4458.1	頁	2	U+9802
09803	頃			顷		[]	[1058]	4459.3	頁	2	U+9803
09805	項			项		[]	[1370]	4460.2	頁	3	U+9805
09806	順			顺		[]	[1559]	4461.2	頁	3	U+9806
09807	頇			顸		[]	[4090]	4460.2	null	null	U+9807
09808	須			须		[]	[1585]	4463.1	頁	3	U+9808
0980A	頊			顼		[]	[4403]	4464.2	頁	4	U+980A
09810	預			预		[]	[2148]	4467.3	頁	4	U+9810
09816	頖					[]	[]	4468.1	頁	5	U+9816
0981C	頜			颌		[]	[5221]	4470.1	null	null	U+981C
09821	頡			颉		[]	[5067]	4469.3	頁	6	U+9821
0982E	頮					[]	[]	4474.1	null	null	U+982E
09835	頵			𫖳		[]	[7610]	4475.1	null	null	U+9835
09837	頷			颔		[]	[5516]	4474.2	頁	7	U+9837
0983D	頽			颓		[穨, 頹]	[2950]	4474.2	頁	7	U+983D
0984D	額			额		[頟]	[3304]	4475.3	頁	9	U+984D
09858	願			愿		[]	[3094]	4482.3	頁	10	U+9858
09867	顧			顾		[]	[1874]	4483.2	頁	12	U+9867
0986B	顫			颤		[]	[3465]	4486.1	頁	13	U+986B
0986F	顯			显	顕	[]	[1485]	4486.2	頁	9	U+986F
098AE	颮			飑		[]	[4293]	4497.3	null	null	U+98AE
098AF	颯			飒		[䬃]	[4315]	4497.2	風	5	U+98AF
098BA	颺		揚	扬		[飏]	[6607]	null	風	9	U+98BA
098E3	飣			饤		[]	[]	4510.1	食	2	U+98E3
098F2	飲			饮		[㱃]	[824]	4512.1	食	4	U+98F2
098FD	飽			饱		[]	[1202]	4516.3	食	5	U+98FD
09909	餉			饷		[]	[4299]	4518.1	食	6	U+9909
0990C	餌			饵		[]	[1610]	4517.3	食	6	U+990C
09913	餓			饿		[]	[2012]	4520.3	食	7	U+9913
09915	餕					[]	[]	4521.1	食	7	U+9915
09918	餘			余	余	[]	[795]	4518.3	人	5	U+9918
0991B	餛			馄		[]	[4933]	4522.2	食	8	U+991B
0992C	餬		糊			[]	[3287]	4523.1	食	9	U+992C
09933	餳			饧		[]	[3622]	4523.2	食	9	U+9933
09939	餹		糖			[]	[3374]	4524.1	null	null	U+9939
0993B	餻		糕			[]	[3375]	4524.1	米	10	U+993B
0993C	餼			饩		[]	[3751]	4524.2	食	10	U+993C
09946	饆					[]	[0]	4525.1	食	11	U+9946
0994A	饊			馓		[]	[5978]	4526.1	null	null	U+994A
0994B	饋			馈		[]	[2724]	4526.1	食	12	U+994B
09954	饔					[]	[6475]	4527.1	食	13	U+9954
09955	饕					[]	[6470]	4527.2	食	13	U+9955
09958	饘			𫗴		[]	[7890]	4527.1	食	13	U+9958
09996	首					[𩠐]	[1651]	4528.1	首	0	U+9996
09997	馗					[]	[4931]	4531.2	首	2	U+9997
09999	香					[]	[1548]	4531.1	香	0	U+9999
099A8	馨					[]	[3475]	4537.2	香	11	U+99A8
099AD	馭			驭		[]	[3562]	4555.2	馬	2	U+99AD
099B1	馱			驮	駄	[䭾]	[590]	4555.3	馬	4	U+99B1
099B4	馴			驯		[]	[592]	4555.3	馬	3	U+99B4
099B9	馹			驲		[]	[6639]	4557.1	馬	4	U+99B9
099D1	駑			驽		[]	[4070]	4560.3	馬	5	U+99D1
099D2	駒			驹		[]	[1343]	4560.2	馬	5	U+99D2
099DF	駟			驷		[]	[4077]	4559.3	馬	5	U+99DF
099EA	駪			𬳽		[]	[6920]	4563.3	馬	6	U+99EA
099EE	駮		駁	驳		[]	[935]	4561.3	馬	6	U+99EE
099F1	駱			骆		[]	[1760]	4563.3	馬	6	U+99F1
099FC	駼			𬳿		[]	[7093]	4565.1	馬	7	U+99FC
099FF	駿			骏		[]	[2154]	4565.2	馬	7	U+99FF
09A00	騀					[]	[]	4565.1	null	null	U+9A00
09A01	騁			骋		[]	[4702]	4565.1	馬	7	U+9A01
09A0A	騊			𫘦		[]	[7276]	4568.1	馬	8	U+9A0A
09A0B	騋					[]	[]	4566.2	馬	8	U+9A0B
09A2B	騫			骞		[]	[5592]	4569.1	馬	10	U+9A2B
09A2D	騭			骘		[隲]	[5319]	4572.1	馬	10	U+9A2D
09A30	騰			腾		[]	[2975]	4569.3	馬	10	U+9A30
09A35	騵			𫘪		[]	[7617]	4569.2	馬	n	U+9A35
09A41	驁			骜		[䮯]	[5347]	4572.1	馬	11	U+9A41
09A4A	驊			骅		[]	[4395]	4572.2	null	null	U+9A4A
09A57	驗			验	験	[]	[2152]	4577.2	馬	8	U+9A57
09A5A	驚			惊		[]	[2445]	4575.3	馬	12	U+9A5A
09A65	驥			骥		[]	[6418]	4578.1	馬	16	U+9A65
09A66	驦			骦		[]	[8072]	4579.1	null	null	U+9A66
09AAD	骭					[]	[0]	4539.2	骨	3	U+9AAD
09AB0	骰					[]	[5481]	4540.1	骨	4	U+9AB0
09AB9	骹					[]	[]	4540.3	骨	6	U+9AB9
09ABC	骼					[]	[5944]	4541.1	骨	6	U+9ABC
09AD2	髒			脏		[]	[1998]	4542.3	骨	12	U+9AD2
09AD4	體			体		[軆]	[770]	4542.3	人	5	U+9AD4
09ADF	髟					[]	[]	4591.1	髟	0	U+9ADF
09AF9	髹					[髤]	[6038]	4594.1	髟	6	U+9AF9
09AFB	髻					[]	[6036]	4593.2	髟	6	U+9AFB
09B0D	鬍			胡		[]	[1419]	4595.2	髟	9	U+9B0D
09B1A	鬚			须		[]	[1585]	4596.2	髟	12	U+9B1A
09B23	鬣					[]	[6494]	4597.2	髟	15	U+9B23
09B25	鬥			斗		[]	[166]	4597.1	鬥	0	U+9B25
09B28	鬨		哄			[閧]	[1483]	4598.1	鬥	6	U+9B28
09B2D	鬭		鬥	斗	闘	[鬪]	[166]	4598.2	門	10	U+9B2D
09B2E	鬮			阄		[]	[4630]	4599.3	鬥	16	U+9B2E
09B2F	鬯					[]	[7028]	4600.1	鬯	0	U+9B2F
09B31	鬱			郁		[欝]	[1043]	4600.1	鬯	19	U+9B31
09B42	魂					[䰟]	[2830]	4607.3	鬼	4	U+9B42
09B44	魄					[]	[3129]	4608.2	鬼	5	U+9B44
09B48	魈					[]	[6133]	4608.3	null	null	U+9B48
09B4D	魍					[]	[6266]	4609.1	鬼	8	U+9B4D
09B5A	魚			鱼		[]	[1194]	4612.1	魚	0	U+9B5A
09B6F	魯			鲁		[]	[2717]	4618.1	魚	4	U+9B6F
09B8B	鮋			鲉		[]	[7557]	4621.2	null	null	U+9B8B
09B91	鮑			鲍		[]	[2977]	4622.1	魚	5	U+9B91
09B9A	鮚			鲒		[]	[7699]	4624.3	null	null	U+9B9A
09B9C	鮜			鲘		[]	[7704]	null	null	null	U+9B9C
09BA3	鮣			䲟		[]	[7560]	4622.1	null	null	U+9BA3
09BA6	鮦			鲖		[]	[7702]	4625.2	魚	6	U+9BA6
09BAA	鮪			鲔		[]	[5769]	4625.1	魚	6	U+9BAA
09BAB	鮫			鲛		[]	[5771]	4623.2	魚	6	U+9BAB
09BC0	鯀			鲧		[]	[5973]	4627.2	魚	7	U+9BC0
09BC9	鯉			鲤		[]	[3276]	4626.3	魚	7	U+9BC9
09BD6	鯖			鲭		[]	[7885]	4628.1	魚	8	U+9BD6
09BDB	鯛			鲷		[]	[6145]	4629.2	魚	8	U+9BDB
09BE0	鯠					[]	[]	4628.2	null	null	U+9BE0
09BE4	鯤			鲲		[]	[6141]	4628.2	魚	8	U+9BE4
09BE5	鯥					[]	[]	4628.1	魚	8	U+9BE5
09BE8	鯨			鲸		[]	[3366]	4627.2	魚	8	U+9BE8
09C08	鰈			鲽		[]	[6277]	4630.2	魚	9	U+9C08
09C0D	鰍			鳅		[]	[6280]	4631.1	魚	9	U+9C0D
09C23	鰣			鲥		[]	[5972]	4632.2	魚	10	U+9C23
09C27	鰧			䲢		[]	[8014]	4633.1	魚	10	U+9C27
09C2C	鰬					[]	[0]	4632.2	null	null	U+9C2C
09C31	鰱			鲢		[]	[5970]	4632.1	魚	11	U+9C31
09C32	鰲			鳌		[]	[6311]	4633.3	黽	11	U+9C32
09C39	鰹			鲣		[]	[5971]	4633.3	魚	11	U+9C39
09C42	鱂			鳉		[]	[7968]	4634.3	null	null	U+9C42
09C45	鱅			鳙		[]	[6407]	4633.2	魚	11	U+9C45
09C52	鱒			鳟		[]	[6444]	4635.3	魚	12	U+9C52
09C56	鱖			鳜		[]	[6442]	4635.3	魚	12	U+9C56
09C5F	鱟			鲎		[]	[5591]	4637.2	魚	13	U+9C5F
09C63	鱣			鳣		[]	[8084]	4636.3	魚	13	U+9C63
09C67	鱧			鳢		[]	[6454]	4637.1	魚	13	U+9C67
09CE9	鳩			鸠		[]	[3748]	4642.1	鳥	2	U+9CE9
09CEC	鳬			凫		[鳧]	[3620]	4641.2	鳥	2	U+9CEC
09CF4	鳴			鸣		[]	[1100]	4643.2	鳥	3	U+9CF4
09D07	鴇			鸨		[]	[4289]	4651.1	鳥	4	U+9D07
09D1D	鴝			鸲		[]	[4600]	4654.2	鳥	5	U+9D1D
09D1E	鴞			鸮		[]	[4503]	4652.2	鳥	5	U+9D1E
09D23	鴣			鸪		[]	[4445]	4651.2	鳥	5	U+9D23
09D2B	鴫					[]	[]	null	鳥	5	U+9D2B
09D3B	鴻			鸿		[]	[2412]	4655.1	鳥	6	U+9D3B
09D3D	鴽					[鴑]	[]	4658.2	null	null	U+9D3D
09D3F	鴿			鸽		[]	[2349]	4658.1	鳥	6	U+9D3F
09D41	鵁			䴔		[]	[7224]	4080.1	鳥	6	U+9D41
09D42	鵂			鸺		[]	[7194]	4658.1	鳥	6	U+9D42
09D50	鵐			鹀		[]	[7327]	0	鳥	7	U+9D50
09D5D	鵝			鹅		[鵞, 䳘]	[2674]	4660.1	鳥	7	U+9D5D
09D73	鵳					[]	[]	null	鳥	8	U+9D73
09D7A	鵺					[]	[]	4662.2	鳥	8	U+9D7A
09D7E	鵾			鹍		[]	[7518]	4664.1	鳥	9	U+9D7E
09D84	鶄			䴖		[]	[7465]	4662.3	鳥	8	U+9D84
09D8A	鶊			鹒		[]	[7575]	4662.3	鳥	8	U+9D8A
09D8B	鶋					[]	[]	4665.2	null	null	U+9D8B
09D92	鶒					[鷘]	[]	4665.3	null	null	U+9D92
09D96	鶖			鹙		[]	[7689]	4667.1	鳥	9	U+9D96
09D98	鶘			鹕		[]	[5658]	4665.3	null	null	U+9D98
09DB1	鶱			𬸣		[]	[7824]	4667.3	null	null	U+9DB1
09DC0	鷀			鹚		[鶿]	[5797]	4665.2	鳥	9	U+9DC0
09DD3	鷓			鹧		[]	[6151]	4672.1	鳥	11	U+9DD3
09DF3	鷳			鹇		[鷼]	[5265]	4674.1	null	null	U+9DF3
09DF4	鷴					[]	[]	null	鳥	12	U+9DF4
09DFA	鷺			鹭		[]	[6334]	4675.3	鳥	12	U+9DFA
09DFD	鷽					[]	[]	4676.1	鳥	13	U+9DFD
09DFE	鷾					[]	[]	4674.3	null	null	U+9DFE
09E07	鸇			鹯		[]	[8018]	4674.3	鳥	13	U+9E07
09E18	鸘			鹴		[]	[8092]	4677.2	null	null	U+9E18
09E75	鹵			卤		[]	[711]	4679.1	鹵	0	U+9E75
09E7A	鹺			鹾		[]	[7857]	4680.1	鹵	10	U+9E7A
09E7C	鹼		碱			[硷, 鹸]	[3091]	4682.3	鹵	13	U+9E7C
09E7D	鹽			盐	塩	[]	[1790]	4680.2	土	10	U+9E7D
09E7F	鹿					[]	[2387]	4683.1	鹿	0	U+9E7F
09E80	麀					[]	[7577]	4685.2	鹿	2	U+9E80
09E8B	麋					[]	[6291]	4686.3	鹿	6	U+9E8B
09E8C	麌					[]	[]	4687.1	鹿	7	U+9E8C
09E93	麓					[]	[6374]	4687.3	鹿	8	U+9E93
09E96	麖					[]	[8047]	4687.2	null	null	U+9E96
09E9D	麝					[]	[6456]	4689.2	鹿	10	U+9E9D
09EA5	麥			麦	麦	[]	[601]	4691.1	麥	0	U+9EA5
09EAA	麪		麵	面		[]	[1455]	4693.2	麥	9	U+9EAA
09EB5	麵			面	麺	[麺]	[1455]	4695.1	麥	9	U+9EB5
09EC4	黄					[黃]	[2201]	4697.1	黄	0	U+9EC4
09ECC	黌			黉		[]	[7912]	4711.2	黄	13	U+9ECC
09ECD	黍					[]	[5202]	4711.1	黍	0	U+9ECD
09ED1	黑				黒	[]	[2655]	4713.1	黑	0	U+9ED1
09ED4	黔					[]	[3353]	4717.2	黑	4	U+9ED4
09ED8	默				黙	[]	[3352]	4716.3	黑	4	U+9ED8
09EDC	黜					[]	[6241]	4720.2	黑	5	U+9EDC
09EE0	黠					[]	[6340]	4721.1	黑	6	U+9EE0
09EE5	黥					[]	[6433]	4721.2	黑	8	U+9EE5
09EEF	黯					[]	[3493]	4722.3	黑	9	U+9EEF
09EF7	黷			黩		[]	[6432]	4724.1	黑	15	U+9EF7
09F04	鼄					[]	[]	4728.2	null	null	U+9F04
09F07	鼇		鰲	鳌		[]	[6311]	4729.1	黽	11	U+9F07
09F0E	鼎					[]	[2617]	4725.1	鼎	0	U+9F0E
09F13	鼓					[皷]	[2837]	4730.1	鼓	0	U+9F13
09F15	鼕			冬		[]	[295]	4732.1	鼓	5	U+9F15
09F1B	鼛					[]	[]	4732.2	null	null	U+9F1B
09F20	鼠					[]	[2958]	4732.1	鼠	0	U+9F20
09F2A	鼪					[]	[]	4734.3	null	null	U+9F2A
09F2B	鼫					[]	[8010]	4734.2	null	null	U+9F2B
09F2C	鼬					[]	[6350]	4734.3	鼠	5	U+9F2C
09F2F	鼯					[]	[6440]	4735.1	鼠	7	U+9F2F
09F3B	鼻					[]	[3128]	4736.1	鼻	0	U+9F3B
09F3E	鼾					[]	[6264]	4737.1	鼻	3	U+9F3E
09F41	齁					[]	[6400]	4737.2	鼻	5	U+9F41
09F52	齒			齿	歯	[]	[1068]	4743.1	齒	15	U+9F52
09F54	齔			龀		[齓]	[4489]	4744.2	齒	2	U+9F54
09F55	齕			龁		[]	[7153]	4744.3	齒	3	U+9F55
09F58	齘			𬹼		[]	[7347]	4744.3	齒	4	U+9F58
09F69	齩		咬			[]	[1512]	4745.3	齒	6	U+9F69
09F6A	齪			龊		[]	[5900]	4746.3	齒	7	U+9F6A
09F6C	齬			龉		[]	[5899]	4746.2	齒	7	U+9F6C
09F72	齲			龋		[]	[6220]	4747.2	齒	9	U+9F72
09F94	龔			龚		[]	[4801]	4763.1	龍	6	U+9F94
09F95	龕			龛		[]	[4919]	4763.3	龍	6	U+9F95
09F9C	龜			龟	亀	[]	[808]	4764.1	龜	0	U+9F9C
09FA0	龠					[]	[6267]	4764.1	龠	0	U+9FA0
09FA5	龥					[]	[]	null	竹	26	U+9FA5
21484	𡒄	⿰土禀				[壈]	[]	877.1	null	null	U+21484
266A2	𦚢	⿰月㫐				[]	[]	null	null	null	U+266A2
2C1C7	𬇇	⿰叠毛				[㲲, 氎]	[]	2259.3	毛	22	U+2C1C7
